ID;Hora de inicio;Hora de finalización;Correo electrónico;Nombre;"Seleccione el Comité de Bienestar al cual pertenece (si no lo conoce, por favor consulte con el encargado de bienestar de su unidad):
";Componente / Jefatura:;Componente / Jefatura:2;Componente / Jefatura:3;Componente / Jefatura:4;Componente / Jefatura:5;Componente / Jefatura:6;Componente / Jefatura:7;Componente / Jefatura:8;Componente / Jefatura:9;Componente / Jefatura:10;Componente / Jefatura:11;Componente / Jefatura:12;Componente / Jefatura:13;Componente / Jefatura:14;Componente / Jefatura:15;Componente / Jefatura:16;Seleccione la categoría a la cual pertenece:;Seleccione la categoría a la cual pertenece:2;Grado:;Grado:2;Tiempo en la institución:;Estado civil:;"¿CONOCE EL PROGRAMA DE INCENTIVOS?
Enfocado en reconocer el compromiso y desempeño del personal en el logro de resultados. Ejemplo de actividades relacionadas con el programa: Medallas, condecorac...";Dentro del Programa de Incentivos ¿La entrega de incentivos o reconocimientos que ha recibido usted está acorde a su nivel de compromiso y las labores que desempeña?;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).;Dentro del Programa de Incentivos ¿Ha evidenciado o ha sido participe de la entrega de incentivos o reconocimientos por la labor y compromiso a otros tripulantes de la institución?;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).2;"¿CONOCE EL PROGRAMA DE RECREACIÓN Y CULTURA?
Orientado a propender por el aprovechamiento del tiempo libre mediante el desarrollo de actividades recreativas y culturales. Ejemplo de actividades re...";¿Valora usted como positivas las actividades del programa de recreación y cultura que se hacen en su unidad?;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).3;¿Los tripulantes de su unidad valoran como positivas las actividades del programa de recreación y cultura que se hacen?;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).4;"¿CONOCE EL PROGRAMA DE DEPORTES Y CULTURA FÍSICA?
Encaminado a estimular el espíritu deportivo y la práctica de actividades que fortalezcan la cultura física y promuevan hábitos de vida saludable....";¿Las actividades del programa de deporte y cultura física que implementan en su unidad incentivan a la práctica de disciplinas deportivas y a mantener la cultura del entrenamiento físico?;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).5;"¿CONOCE EL PROGRAMA DE SERVICIOS EDUCATIVOS (COLEGIOS NAVALES)?
Encaminado a prestar el servicio educativo a los hijos de los tripulantes de la institución a través de los Colegios Navales.";¿Está conforme con el servicio educativo ofrecido por los Colegios Navales? (Si no es o no ha sido usuario por favor seleccione la respuesta de acuerdo a su percepción);Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).6;"¿CONOCE EL PROGRAMA DE ORIENTACIÓN SOCIOFAMILIAR?
  Direccionamiento de estrategias y recursos institucionales para la realización de talleres de proyecto de vida, prevención de violencias, crisis...";¿Los servicios del programa de orientación y/o educación sociofamiliar ofrecidos por las Oficinas de Atención a la Familia son satisfactorios? (Si no es o no ha sido usuario por favor seleccione l...;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).7;"¿CONOCE EL PROGRAMA DE SERVICIOS FUNERARIOS?
Facilitar la coordinación de los servicios funerarios y de inhumación del personal en servicio activo, de la reserva y pensionados de la Armada Naciona...";¿El acompañamiento y orientación por parte de la Armada Nacional para la gestión de los servicios funerarios son oportunos? (Si no es o no ha sido usuario por favor seleccione la respuesta de acue...;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).8;"¿CONOCE EL PROGRAMA DE VIVIENDAS Y ALOJAMIENTOS MILITARES?
Elevar la calidad de vida de los tripulantes en servicio activo de la Armada Nacional y su familia, mediante la asignación de alojamiento...";¿Está conforme con el servicio de viviendas y alojamientos militares para los tripulantes y sus familias? (Si no es o no ha sido usuario por favor seleccione la respuesta de acuerdo a su percepción);Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).9;"¿CONOCE EL PROGRAMA DE PREPARACIÓN PARA EL RETIRO?
  “Héroes vuelven a casa” (IMP) y Seminario fortalecimiento familiar (OF y S/O), busca facilitar la adaptación del personal militar de la Armada ...";¿El Programa de desvinculación asistida y preparación para el retiro facilita la adaptación del funcionario al nuevo entorno social, familiar y laboral? (Si no es o no ha sido usuario por favor se...;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).10;¿Se ha enterado oportunamente de la realización de las actividades de bienestar programadas por su unidad?;¿En el desarrollo de las actividades de bienestar se evidencia el compromiso del personal encargado en su unidad?;¿Se le brinda el tiempo y las facilidades para asistir a las actividades de bienestar en su unidad?;Seleccione ¿Cuál de los siguientes motivos le ha dificultado recibir o participar de los beneficios o actividades de bienestar? ;Le solicitamos nos brinde sugerencias o aportes que nos sirvan para mejorar las actividades enmarcadas dentro de los programas de bienestar en su unidad.
27478;9/16/24 18:29:16;9/16/24 18:38:35;anonymous;;Comité N° 2. FNC;;FSUBC;;;;;;;;;;;;;;;Suboficial;;;;16 a 20 años;Unión libre;SI;3;N/A;3;En la unidad no se divulga;NO;3; Me encuentro en el desarrollo operaciones;3; Poco presupuesto en la unidad para estas actividades;SI;3;N/a;SI;3;No lo uso;SI;3;No cumple expectativas  ;NO;3;Personal no idóneo  ;SI;3;Mala infraestructura;NO;3;Proceso muy corto  ;5;4;4;Se dio prioridad a otros grados o categorías;Mejorar el proceso en el cual se dan las medallas x tener más presente el personal embarcado x más bienestar al personal embarcado permisos x primas x medallas x mayor visibilidad del personal embarcado 
27479;9/16/24 18:13:40;9/16/24 18:39:04;anonymous;;Comité N° 3. FNP;;;GRUBP;;;;;;;;;;;;;;Suboficial;;;;16 a 20 años;Casado (a);SI;2;Poco tiempo del comandante ;1;Si postulado, pero no sé recibió el incentivo por sobrecarga laboral;SI;4;;4;;SI;5;;SI;4;;SI;1;No cumple expectativas  ;SI;4;;SI;2;Poca disponibilidad  ;NO;4;;2;2;1;Exceso de carga laboral ;Verifiquen que haya rotación en los incentivos en cada unidad
27480;9/16/24 18:24:31;9/16/24 18:39:04;anonymous;;Comité N° 1. COARC;COARC / AYGAR;;;;;;;;;;;;;;;;Civil ARC;;;;6 a 10 años;Casado (a);SI;4;;4;;NO;3; Me encuentro en el desarrollo operaciones;3; Poco presupuesto en la unidad para estas actividades;SI;3;La unidad  no las  realiza  ;SI;4;;NO;3; No los conoce;NO;5;;SI;3;No he tenido la oportunidad de usarlas;NO;3; Poca variedad cursos;4;3;4;Necesidades operacionales o actos del servicio;Tener en cuenta el gremio de conductores civiles para las actividades a realizar, programar  al personal para q todos participemos y no entorpecer los apoyos terrestres.
27481;9/16/24 18:36:15;9/16/24 18:40:09;anonymous;;Comité N° 8. BRIM2;;;;;;;;BIM23;;;;;;;;;Infante de Marina Profesional;;;;0 a 5 años;Soltero (a);NO;1;Comandante no postula;1;En la unidad no se divulga;NO;1;No asisto por exceso de carga laboral;1;No asisten por exceso de carga laboral;NO;1;No se divulgan;NO;1;;NO;1; No los conoce;NO;1; Desinformación;NO;1;;NO;1;;1;1;1;Desconocimiento de la realización de las actividades;
27482;9/16/24 18:39:10;9/16/24 18:40:37;anonymous;;Comité N° 8. BRIM2;;;;;;;;BIM21;;;;;;;;;Infante de Marina Profesional;;;;0 a 5 años;Soltero (a);SI;5;Poco tiempo en la institución;4;Los encargados no postulan;SI;4; Me encuentro en el desarrollo operaciones;4;La unidad  no las  realiza  ;SI;4; No son apropiadas;SI;4;Calidad de docentes  ;SI;4; No los conoce;SI;4;Mala atención;SI;4;Mala infraestructura;SI;4;No cumple expectativas;4;4;4;No he tenido dificultades;
27483;9/16/24 18:24:35;9/16/24 18:40:47;anonymous;;Comité N° 2. FNC;;FSUBC;;;;;;;;;;;;;;;Suboficial;;;;11 a 15 años;Casado (a);NO;3;Poco tiempo en la institución;4;;NO;5;;5;;SI;5;;NO;5;;SI;5;;SI;5;;SI;3; Costos;NO;3;No conozco;5;5;5;Desconocimiento de la realización de las actividades;Excelente encuesta 
27484;9/16/24 18:34:13;9/16/24 18:41:09;anonymous;;Comité N° 2. FNC;;FSUCA;;;;;;;;;;;;;;;Suboficial;;;;0 a 5 años;Unión libre;SI;3;Comandante no postula;3;Los encargados no postulan;NO;3;La unidad  no las  realiza  ;3;La unidad  no las  realiza  ;SI;3; No son apropiadas;NO;3; Planta física;NO;3; No los conoce;SI;2;Mala atención;SI;1;Mala infraestructura;SI;3; Poca variedad cursos;3;3;3;Exceso de carga laboral ;N/A
27485;9/16/24 18:21:17;9/16/24 18:41:12;anonymous;;Comité N° 8. BRIM2;;;;;;;;BRIM2;;;;;;;;;Infante de Marina Profesional;;;;16 a 20 años;Unión libre;NO;5;Comandante no postula;5;Bastante tiempo en la integración ;SI;5;Si Sisto a todas q se an realisado;5;Si las realizan ;SI;5;No se divulgan;SI;5;Calidad académica;SI;5; No los conoce;SI;5; Desinformación;SI;5; Costos;SI;5; Poca variedad cursos;5;5;5;No he tenido dificultades;Más actividades que vinculen la participación de la familia 
27486;9/16/24 18:18:12;9/16/24 18:41:27;anonymous;;Comité N° 1. COARC;JEMOP;;;;;;;;;;;;;;;;Civil ARC;;;;21 años o más;Casado (a);NO;1;No divulgan los jefes de dependencias ;1;En la unidad no se divulga;NO;1;La unidad  no las  realiza  ;1;Ellos responden que no hay presupuesto ;NO;1;No se divulgan;SI;4;;NO;1; No los conoce;NO;1;Hay que darlos a conocer a todos los funcionarios y sus funcionarios ;NO;1;Si el presupuesto es para todo el personal de la armada se solicita que también sea para el personal civil;NO;1;Incluir al personal civil;1;1;1;Se dio prioridad a otros grados o categorías;Buenas tardes sería necesario reuniones con personal abordo de cada unidad para valorar su necesidades y implementar las actividades necesarias con todo el personal civil que no se tiene encuenta 
27487;9/16/24 18:35:12;9/16/24 18:42:14;anonymous;;Comité N° 2. FNC;;FSUBC;;;;;;;;;;;;;;;Suboficial;;;;16 a 20 años;Casado (a);SI;4;;4;;SI;4;;4;;SI;3; No son apropiadas;SI;4;;SI;3;No cumple expectativas  ;SI;4;;SI;3;Mala infraestructura;SI;2;Proceso muy corto  ;3;3;3;Necesidades operacionales o actos del servicio;
27488;9/16/24 18:40:12;9/16/24 18:43:20;anonymous;;Comité N° 8. BRIM2;;;;;;;;BRIM2;;;;;;;;;Infante de Marina Profesional;;;;0 a 5 años;Soltero (a);NO;1;Poco tiempo en la institución;1;En la unidad no se divulga;SI;1; Me encuentro en el desarrollo operaciones;1; Poco presupuesto en la unidad para estas actividades;NO;1;No se divulgan;SI;3; Planta física;NO;1;No cumple expectativas  ;SI;1;Mala atención;SI;1;Mala infraestructura;SI;1;No cumple expectativas;4;3;4;Se dio prioridad a otros grados o categorías;
27489;9/16/24 18:17:28;9/16/24 18:43:39;anonymous;;Comité N° 16. JINAV;;;;;;;;;;;;;;;;CCOIN;Oficial;;;;11 a 15 años;Casado (a);SI;3;Comandante no postula;5;;SI;4;;4;;SI;5;;SI;1;Calidad académica;SI;4;;SI;5;;SI;4;;NO;4;;4;4;4;Necesidades operacionales o actos del servicio;Asignar recursos para realizar actividades de bienestar, teniendo en cuenta que el personal debe aportar individualmente, para el desarrollo de cumpleaños, novena navideña, entre otras.
27490;9/16/24 18:29:31;9/16/24 18:43:56;anonymous;;Comité N° 2. FNC;;FSUBC;;;;;;;;;;;;;;;Suboficial;;;;16 a 20 años;Casado (a);SI;3;Muchos traumas en los procesos ;5;;SI;4;;4;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;5;5;5;No he tenido dificultades;
27491;9/16/24 18:38:09;9/16/24 18:44:21;anonymous;;Comité N° 1. COARC;COARC / AYGAR;;;;;;;;;;;;;;;;Civil ARC;;;;21 años o más;Casado (a);NO;1;Comandante no postula;1;En la unidad no se divulga;NO;1;La unidad  no las  realiza  ;1;La unidad  no las  realiza  ;NO;1;La unidad  no las  realiza  ;NO;1;;NO;1;Mala atención;SI;1;Mala atención;NO;1;Mala infraestructura;NO;1;No cumple expectativas;1;1;1;No autorización del comandante;
27492;9/16/24 18:30:21;9/16/24 18:44:46;anonymous;;Comité N° 3. FNP;;;GRUBP;;;;;;;;;;;;;;Suboficial;;;;11 a 15 años;Unión libre;SI;5;;5;;SI;5;;5;;SI;5;;SI;5;;NO;2; No los conoce;SI;3; Desinformación;SI;3;Poca disponibilidad  ;NO;2;Proceso muy corto  ;5;5;5;No he tenido dificultades;
27493;9/16/24 18:40:31;9/16/24 18:45:31;anonymous;;Comité N° 13. BEINM;;;;;;;;;;;;;DMCOV;;;;Suboficial;;;;6 a 10 años;Casado (a);NO;3;Poco tiempo en la institución;3;Los encargados no postulan;SI;4;;3;No son buenas las actividades ;NO;3;La unidad  no las  realiza  ;SI;4;;NO;3; No los conoce;NO;3; Desinformación;SI;3;Mala infraestructura;NO;3;No tengo información de ese programa ;3;4;4;Necesidades operacionales o actos del servicio;Que se realicen más y mejores actividades para el bienestar del personal, ya que la carga laboral es fuerte y no se cuenta con espacios de esparcimiento para el personal de la unidad 
27494;9/16/24 18:39:52;9/16/24 18:45:33;anonymous;;Comité N° 2. FNC;;FSUBC;;;;;;;;;;;;;;;Suboficial;;;;11 a 15 años;Casado (a);SI;4;;4;;SI;5;;5;;SI;5;;NO;4;;SI;4;;SI;5;;SI;5;;SI;5;;5;5;5;No he tenido dificultades;
27495;9/16/24 18:45:13;9/16/24 18:47:54;anonymous;;Comité N° 2. FNC;;FSUBC;;;;;;;;;;;;;;;Suboficial;;;;6 a 10 años;Casado (a);SI;5;;5;;SI;5;;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;5;5;5;No he tenido dificultades;
27496;9/16/24 18:43:42;9/16/24 18:49:49;anonymous;;Comité N° 2. FNC;;FSUBC;;;;;;;;;;;;;;;Suboficial;;;;6 a 10 años;Casado (a);NO;1;Comandante no postula;1;En la unidad no se divulga;NO;4;;4;;SI;4;;NO;3;Calidad académica;NO;3; No los conoce;SI;4;;SI;1;Mala infraestructura;NO;4;;4;4;4;Estar a 3 guardias me lo impide;
27497;9/16/24 18:35:04;9/16/24 18:51:02;anonymous;;Comité N° 7. BRIM1;;;;;;;BFIM17;;;;;;;;;;Civil ARC;;;;0 a 5 años;Soltero (a);SI;5;;5;;SI;5;;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;5;5;5;No he tenido dificultades;
27498;9/16/24 18:47:16;9/16/24 18:54:34;anonymous;;Comité N° 11. BRIM5;;;;;;;;;;;BRIM5;;;;;;Civil ARC;;;;0 a 5 años;Casado (a);SI;5;;1;Soy nueva en la institución;SI;5;;4;;SI;5;;NO;4;;NO;1;No conozco el programa;NO;1;No conozco el programa;NO;1;No conozco el programa;NO;3;No conozco el programa;5;5;5;No he tenido dificultades;
27499;9/16/24 18:53:00;9/16/24 18:55:36;anonymous;;Comité N° 8. BRIM2;;;;;;;;BRIM2;;;;;;;;;Suboficial;;;;21 años o más;Casado (a);SI;4;;4;;SI;4;;4;;SI;4;;SI;4;;SI;4;;SI;4;;SI;4;;SI;4;;4;4;4;Desconocimiento de la realización de las actividades;Más actividades de bienestar 
27500;9/16/24 18:48:04;9/16/24 18:55:47;anonymous;;Comité N° 2. FNC;;FSUBC;;;;;;;;;;;;;;;Oficial;;;;11 a 15 años;Casado (a);SI;4;;4;;SI;5;;5;;SI;5;;SI;4;;SI;4;;SI;5;;SI;5;;SI;4;;5;5;5;No he tenido dificultades;Continuar con la programación, promoción y participación en las actividades de bienestar.
27501;9/16/24 18:54:03;9/16/24 18:56:39;anonymous;;Comité N° 8. BRIM2;;;;;;;;BRIM2;;;;;;;;;Civil ARC;;;;0 a 5 años;Soltero (a);SI;5;;5;;SI;5;;5;;SI;5;;SI;5;Calidad académica;SI;5;;SI;5;;SI;5;;SI;5;;5;5;5;No he tenido dificultades;Está todo excelente 
27502;9/16/24 18:45:59;9/16/24 18:57:17;anonymous;;Comité N° 1. COARC;JEMOP;;;;;;;;;;;;;;;;Civil ARC;;;;21 años o más;Casado (a);NO;1;No conozco por lo cual no divulgan los directores de jefaturas;1;Nunca he conocido cuál es la dinámica de esas propuestas;NO;1;En mi unidad no la promueven ni tampoco la divulgan;1;La unidad  no las  realiza  ;NO;1;No se divulgan;SI;4;;NO;1; No los conoce;NO;1;Deben de informar los encargados automatizando información y beneficios;NO;1;Este programa de bienestar deberían para el personal civil porque también somos armada;NO;1;También implementar al personal civil;1;1;1;Se dio prioridad a otros grados o categorías;Es necesario reuniones por parte de director de bienestar a las unidades y conocer las necesidades y programas
27503;9/16/24 18:55:22;9/16/24 18:57:38;anonymous;;Comité N° 7. BRIM1;;;;;;;BFIM17;;;;;;;;;;Civil ARC;;;;0 a 5 años;Soltero (a);SI;4;;4;;SI;4;;4;;SI;4;;SI;4;;SI;4;;SI;4;;SI;4;;SI;4;;4;4;4;No he tenido dificultades;
27504;9/16/24 18:51:08;9/16/24 18:58:46;anonymous;;Comité N° 3. FNP;;;GRUBP;;;;;;;;;;;;;;Oficial;;;;6 a 10 años;Soltero (a);SI;4;Comandante no postula;5;;SI;5;;4;;SI;5;;NO;5;;SI;5;;SI;5;;SI;5;;SI;5;;4;5;5;Se dio prioridad a otros grados o categorías;
27505;9/16/24 18:56:51;9/16/24 18:59:03;anonymous;;Comité N° 7. BRIM1;;;;;;;BFIM17;;;;;;;;;;Civil ARC;;;;0 a 5 años;Soltero (a);SI;4;;4;;SI;4;;4;;SI;4;;SI;4;;SI;4;;SI;4;;SI;4;;SI;4;;4;4;4;No he tenido dificultades;
27506;9/16/24 18:58:01;9/16/24 19:00:04;anonymous;;Comité N° 2. FNC;;FSUBC;;;;;;;;;;;;;;;Suboficial;;;;11 a 15 años;Casado (a);SI;5;;5;;SI;5;;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;3;Mala infraestructura;SI;5;;5;5;5;No he tenido dificultades;
27507;9/16/24 18:51:39;9/16/24 19:01:48;anonymous;;Comité N° 2. FNC;;FSUBC;;;;;;;;;;;;;;;Suboficial;;;;6 a 10 años;Casado (a);NO;2;;5;;NO;5;;5;;SI;5;;SI;5;;NO;3; No los conoce;SI;3; Desinformación;SI;3;Mala infraestructura;NO;3; Poca variedad cursos;3;4;2;Se dio prioridad a otros grados o categorías;Mejorar la difusión de las actividades para que puedan llegar a todos los niveles 
27508;9/16/24 18:58:40;9/16/24 19:02:30;anonymous;;Comité N° 2. FNC;;FSUBC;;;;;;;;;;;;;;;Suboficial;;;;11 a 15 años;Casado (a);SI;4;;3;;SI;5;;4;;SI;5;;NO;2;;NO;2;;SI;5;;SI;5;Mala infraestructura;NO;3;;5;5;5;No he tenido dificultades;
27509;9/16/24 18:54:49;9/16/24 19:03:43;anonymous;;Comité N° 2. FNC;;FSUBC;;;;;;;;;;;;;;;Suboficial;;;;6 a 10 años;Casado (a);SI;4;;4;;SI;4;;4;;SI;5;;SI;4;;SI;4;;SI;5;;SI;1;Mala infraestructura;SI;4;;5;5;4;No he tenido dificultades;
27510;9/16/24 19:02:42;9/16/24 19:04:26;anonymous;;Comité N° 13. BEINM;;;;;;;;;;;;;DMCOV;;;;Infante de Marina Profesional;;;;16 a 20 años;Unión libre;SI;5;;5;;SI;5;;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;5;5;5;No he tenido dificultades;Muy bien todo
27511;9/16/24 18:19:00;9/16/24 19:04:46;anonymous;;Comité N° 1. COARC;COARC / AYGAR;;;;;;;;;;;;;;;;Civil ARC;;;;11 a 15 años;Casado (a);NO;2;Para el distintivo de los 10 años de servicio, me encontraba asignado al Club Antares como conductor, no fui notificado, para asistir a la ceremonia y hasta el día de hoy, no he podido lograr que me den el distintivo, ya son 3 años tratando de que me den dicho distintivo, a pesar de haber contactado en múltiples ocasiones al Señor Fernando encargado de entregar los distintivos, el Señor Fernando me ha dado su contacto para que le recuerde y no me contesta, le escribo al WhatsApp y no me responde, ojalá sea este el medio para que ustedes le den trámite a esta solicitud. Gracias.;2;En la unidad no se divulga;NO;2;No asisto por exceso de carga laboral;2; Poco presupuesto en la unidad para estas actividades;NO;2;No se divulgan;NO;3;Para los que somos Civiles, no se nos ha prestado esta posibilidad de ingresar a nuestros hijos a dichos colegios Navales. ;NO;2; No los conoce;SI;3; Desinformación;SI;3;A nosotros los civiles, no nos dan estos beneficios.;NO;3;No tenemos este beneficio, por ser civiles.;2;2;2;Desconocimiento de la realización de las actividades;Se de difusión a todas las dependencias, utilizando múltiples medios.
27512;9/16/24 18:51:52;9/16/24 19:05:22;anonymous;;Comité N° 13. BEINM;;;;;;;;;;;;;DMCOV;;;;Infante de Marina Profesional;;;;16 a 20 años;Casado (a);SI;5;;5;;SI;5;;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;5;5;5;No he tenido dificultades;
27513;9/16/24 18:56:24;9/16/24 19:06:16;anonymous;;Comité N° 13. BEINM;;;;;;;;;;;;;DMCOV;;;;Infante de Marina Profesional;;;;16 a 20 años;Casado (a);SI;4;Comandante no postula;4;En la unidad no se divulga;SI;4; Me encuentro en el desarrollo operaciones;4; Poco presupuesto en la unidad para estas actividades;SI;4; No son apropiadas;SI;4;Calidad de docentes  ;SI;4; No los conoce;SI;4; Desinformación;SI;4;Poca disponibilidad  ;NO;4; Poca variedad cursos;4;4;4;No he tenido dificultades;Organizar con más tiempo para que todo que de mejor 
27514;9/16/24 19:01:11;9/16/24 19:07:15;anonymous;;Comité N° 7. BRIM1;;;;;;;BFIM17;;;;;;;;;;Civil ARC;;;;0 a 5 años;Soltero (a);SI;1;Poco tiempo en la institución;1;;SI;5;;5;;SI;5;;SI;1;;SI;1; No los conoce;SI;1;;SI;1;;SI;1;;4;5;5;No he tenido dificultades;
27515;9/16/24 19:00:29;9/16/24 19:09:43;anonymous;;Comité N° 7. BRIM1;;;;;;;BFIM17;;;;;;;;;;Infante de Marina Profesional;;;;6 a 10 años;Casado (a);SI;4;;4;;SI;4;;4;;SI;4;;SI;4;;SI;4;;SI;4;;SI;3;;SI;3;;4;4;4;No he tenido dificultades;
27516;9/16/24 19:01:33;9/16/24 19:11:55;anonymous;;Comité N° 1. COARC;JEMOP;;;;;;;;;;;;;;;;Suboficial;;;;21 años o más;Casado (a);NO;2;No sé cuáles son los insentivos;2;No sé cuáles son los insentivos o reconocimiento ;SI;4;;3; Poco presupuesto en la unidad para estas actividades;NO;4;;SI;2;Calidad de docentes  ;SI;4;;SI;4;;SI;2;Mala infraestructura;NO;1;No existe;4;4;4;Ninguna ;No conozco el programa preparación para el retiro
27517;9/16/24 18:56:39;9/16/24 19:12:42;anonymous;;Comité N° 1. COARC;COARC / AYGAR;;;;;;;;;;;;;;;;Civil ARC;;;;21 años o más;Casado (a);NO;1;Comandante no postula;3;En la unidad no se divulga;NO;1;La unidad  no las  realiza  ;1;La unidad  no las  realiza  ;NO;1;No se divulgan;NO;1;No conozco los programas ;NO;1; No los conoce;NO;1; Desinformación;NO;3;No conozco programa;NO;1;No conozco el programa;1;1;1;Desconocimiento de la realización de las actividades;Sugiero que los programas de que habla la encuesta, llegue a todos los funcionarios no se queden en el papel. Que se hagan campañas de solicitación de estos programas a todo nivel y no solo para unos pocos 
27518;9/16/24 19:10:48;9/16/24 19:14:01;anonymous;;Comité N° 2. FNC;;FSUBC;;;;;;;;;;;;;;;Suboficial;;;;0 a 5 años;Unión libre;SI;4;;4;;SI;4;;4;;SI;4;;SI;4;;SI;4;;SI;4;;SI;4;;SI;4;;4;4;4;No he tenido dificultades;.
27519;9/16/24 19:10:46;9/16/24 19:15:50;anonymous;;Comité N° 8. BRIM2;;;;;;;;BIM21;;;;;;;;;Infante de Marina Profesional;;;;0 a 5 años;Soltero (a);NO;3;Poco tiempo en la institución;3;En la unidad no se divulga;NO;3; Me encuentro en el desarrollo operaciones;3;S/N;SI;4;;NO;1;S/N;NO;3; No los conoce;SI;4; Desinformación;NO;3;S N;NO;3;S N;3;3;3;Necesidades operacionales o actos del servicio;
27520;9/16/24 19:12:36;9/16/24 19:16:43;anonymous;;Comité N° 2. FNC;;FSUBC;;;;;;;;;;;;;;;Suboficial;;;;16 a 20 años;Casado (a);SI;4;;4;;SI;4;;4;;SI;4;;SI;4;;SI;4;;SI;4;;SI;4;;SI;4;;4;4;4;No he tenido dificultades;Medallas 
27521;9/16/24 17:16:16;9/16/24 19:17:19;anonymous;;Comité N° 10. BRIM4;;;;;;;;;;UBATM;;;;;;;Civil ARC;;;;0 a 5 años;Soltero (a);NO;2;Solo se reconoce el trabajo dependiendo de que tan bien le agradas a las personas ;2;Siempre se postulan a las mismas personas y los que reciben dichos reconocimientos no saben porque se los entregan porque están conscientes q su trabajo no es el mejor ;NO;4;2 actividades han sucedido mientras me encuentro de guardia ;4; Poco presupuesto en la unidad para estas actividades;SI;4;Muchas veces se hacen dentro de horario laboral ;NO;4;Calidad académica;NO;4; No los conoce;NO;4; Desinformación;NO;2;Poca disponibilidad  ;NO;3;;3;3;3;Necesidades operacionales o actos del servicio;
27522;9/16/24 19:07:11;9/16/24 19:19:02;anonymous;;Comité N° 1. COARC;COARC / AYGAR;;;;;;;;;;;;;;;;Civil ARC;;;;6 a 10 años;Unión libre;NO;1;Comandante no postula;1;En la unidad no se divulga;NO;1;La unidad  no las  realiza  ;1;La unidad  no las  realiza  ;NO;1;La unidad  no las  realiza  ;SI;3;Calidad de docentes  ;NO;2;Mala atención;NO;2; Desinformación;NO;1;Poca disponibilidad  ;NO;1; Poca variedad cursos;1;1;1;Todas menos la 1ra;Como sugerencia pueden hae los eventos más visibles a todo el personal no solo a los más sercanos de los q los programan los eventos 
27523;9/16/24 19:19:51;9/16/24 19:21:21;anonymous;;Comité N° 7. BRIM1;;;;;;;BFIM17;;;;;;;;;;Civil ARC;;;;0 a 5 años;Soltero (a);SI;5;;5;;SI;5;;5;;SI;5;;SI;4;;SI;5;;SI;5;;SI;5;;SI;5;;4;4;5;No he tenido dificultades;
27524;9/16/24 19:20:09;9/16/24 19:21:28;anonymous;;Comité N° 8. BRIM2;;;;;;;;BIM21;;;;;;;;;Suboficial;;;;0 a 5 años;Casado (a);NO;1;Poco tiempo en la institución;1;Los comandantes no los entregan ;NO;1;La unidad  no las  realiza  ;1;La unidad  no las  realiza  ;NO;1;La unidad  no las  realiza  ;NO;1;Calidad de docentes  ;NO;1;No cumple expectativas  ;NO;1;Mala atención;NO;1;Mala infraestructura;NO;1;No cumple expectativas;1;1;1;No he tenido dificultades;
27525;9/16/24 19:19:22;9/16/24 19:22:02;anonymous;;Comité N° 8. BRIM2;;;;;;;;BIM23;;;;;;;;;Infante de Marina Profesional;;;;0 a 5 años;Soltero (a);SI;5;;5;;SI;5;;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;5;5;5;No he tenido dificultades;Son excelentes 
27526;9/16/24 19:19:08;9/16/24 19:23:29;anonymous;;Comité N° 7. BRIM1;;;;;;;BFIM17;;;;;;;;;;Infante de Marina Profesional;;;;0 a 5 años;Soltero (a);SI;2;;2;;NO;2;La unidad  no las  realiza  ;2;La unidad  no las  realiza  ;SI;2; No son apropiadas;NO;1;;SI;3;Mala atención;SI;3;;SI;1;Mala infraestructura;SI;3;Proceso muy corto  ;3;3;3;Necesidades operacionales o actos del servicio;Tener en cuenta más beneficios para el personal 
27527;9/16/24 19:21:09;9/16/24 19:25:59;anonymous;;Comité N° 1. COARC;JEMAF;;;;;;;;;;;;;;;;Suboficial;;;;11 a 15 años;Casado (a);SI;2;Comandante no postula;3;En la unidad no se divulga;SI;3;No realizan invitación ;4; Poco presupuesto en la unidad para estas actividades;SI;4;No se divulgan;NO;4; Planta física;SI;4; No los conoce;SI;4; Desinformación;SI;4;Poca disponibilidad  ;SI;4;Proceso muy corto  ;4;4;3;Se dio prioridad a otros grados o categorías;
